claim,fact_checker,rating
Beyonce has not been banned from performing in Canada based on her 2016 Super Bowl halftime performance.,Kim LaCapria,false
Vice President Joe Biden said that 'no ordinary American cares about their constitutional rights.',Dan Evon,FALSE
"A photograph shows Bill Clinton, George H.W. Bush, and George Wallace together at a table.",Dan Evon,TRUE
"300,000 pounds of rat meat disguised as chicken wings were sold in the U.S. before the Super Bowl.",Kim LaCapria,False
"A Republican lawmaker proposed introducing ""hunger tests"" before issuing food stamps.",Kim LaCapria,False
A customer found maggots inside a new jar of Bertolli tomato sauce.,Kim LaCapria,unproven
"Kim Kardashian wore a coat made from ""South Russian Ovcharka dogs"" to Kanye West's fashion show.",Dan Evon,FALSE
Sec. of State Hillary Clinton's approval of a deal to transfer control of 20% of U.S. uranium deposits to a Russian company was a quid pro quo exchange for donations to the Clinton Foundation.,David Emery,false
Eminem biopic '8 Mile' will return with a sequel in late 2016.,Kim LaCapria,False
'Mob Wives' personality Big Ang died of cancer.,Kim LaCapria,true
,,
U.S. Marshals are arresting people who have not paid their student loans.,Dan Evon,mixture
A study found that 80 percent of black men in Georgia were homosexual.,Kim LaCapria,False
"Mitch McConnell will only consider approving Supreme Court Justice who is white, Christian, conservative, and male.",Dan Evon,FALSE
"A video shows a ""7D Hologram"" of a whale inside a school gymnasium.",Dan Evon,FALSE
"Marine vet Christopher Marquez was assaulted at a Washington, D.C., McDonald's retaurant by Black Lives Matter activists.",Kim LaCapria,Mixture
Vladimir Putin called President Obama an idiot for touting socialist policies.,Dan Evon,FALSE
"Israel has banned the sale of Heinz brand ketchup, partially due to the product's use of GMO-derived ingredients.",Kim LaCapria,Mostly False
"Police in Los Angeles discovered 19 bodies in a freezer with ""Black Lives Matter"" carved into the victims' skin.",Kim LaCapria,FALSE
Produce in California (namely tangerines) is being grown in toxic wastewater from oil company fracking activities.,Kim LaCapria,mixture
Actor Ato Essandoh was killed during the filming of 'Django Unchained.',Dan Evon,FALSE
"Bill Maher smoked a joint during a live broadcast of 'Real Time with Bill Maher,' and the FCC imposed a hefty fine.",Kim LaCapria,Mixture
"Article III, Section 4 of the Constitution holds a ""lame duck ... candidate"" cannot seek to fill a Supreme Court vacancy.",Kim LaCapria,False
"Drinking wine before bed ""officially makes you skinny.""",Kim LaCapria,Mostly False
Ted Cruz will replace the Constitution with the Bible if he's elected President.,Dan Evon,FALSE
Apple CEO Tim Cook wrote an open letter to customers explaining why the company was fighting a court order to unlock an iPhone tied to the San Bernardino attack.,Dan Evon,TRUE
"A photo taken by the Hubble Telescope shows the earth in a ""cradle of clouds.""",Dan Evon,FALSE
A woman set a Guinness World Record for having 14 kids with 14 different fathers.,Dan Evon,FALSE
,,
,,
Several widely-available cheeses are partially made from wood.,Kim LaCapria,Mostly False
Ted Cruz said that he was skeptical about the timing of Justice Scalia's death.,Dan Evon,FALSE
"The United States Postal Service issued a ""forever stamp"" featuring Bernie Sanders.",Dan Evon,FALSE
Bernie Sanders dodged the draft.,Kim LaCapria,False
,,
Will Smith and Jada Pinkett Smith have purchased the BET channel.,Dan Evon,FALSE
,,
"Donald Trump bashed Jesus, saying that he could save America without some ""silly cross.""",Dan Evon,FALSE
Donald Trump called for a boycott of all Apple products in a tweet sent from his iPhone.,Kim LaCapria,Mostly False
A photo shows an endangered fennec hare.,Dan Evon,FALSE
Doctors believe an increased number of microcephaly cases in Brazil is due to the use of a Monsanto-manufactured pesticide.,Kim LaCapria,Unproven
"A cryptic blog called ""Two Droplets"" told the story of the catastrophic effect of two droplets of drain cleaner on a family's life.",Kim LaCapria,Undetermined
"Marco Rubio described Zika-linked birth defects as God's punishment of a mother, and abortion as an unacceptable evasion of that judgment.",Kim LaCapria,False
,,
"Internet celebrity ""Damn Daniel"" was mugged and robbed of his shoes.",Dan Evon,FALSE
Residents of Trump Tower Chicago demonstrated their disdain for Donald Trump via a clever display of lights.,Kim LaCapria,False
"If you share a photo of yourself wearing Mickey Mouse ears, Disney Parks will donate $5 to the Make-A-Wish foundation.",Kim LaCapria,Mostly True
California passed a law to allow undocumented immigrants to vote.,Dan Evon,FALSE
"Supporters of Bernie Sanders shouted ""English only"" at civil rights activist Dolores Huerta during one Nevada caucus event, ostensibly objecting to a translation of remarks into Spanish.",Kim LaCapria,False
"Carl Sagan said ""if it can be destroyed by the truth, it deserves to be destroyed by the truth.""",Kim LaCapria,Misattributed
"A woman was raped and murdered in Turkey during a trek for ""world peace.""",Dan Evon,mixture
A video shows a group of giraffes trained to jump from a high dive.,Dan Evon,FALSE
There are small worms in bags of Lipton tea.,Kim LaCapria,False
"Sandra Day O'Connor said that Republicans were a ""vile, petulant, hateful, passel of obstructionists.""",Dan Evon,FALSE
A photograph shows a man standing on top of a pile of bison skulls.,Dan Evon,TRUE
Lawmakers in Illinois proposed a bill to prevent single mothers from obtaining birth certificates for their children.,Kim LaCapria,Mixture
John Kasich said he won elections because women came out of their kitchens to vote for him.,Kim LaCapria,Mixture
A photograph shows MAC Cosmetics testing its products on a group of cats.,Dan Evon,Real Photo; Inaccurate Description
The app Down to Lunch is a covert tool for human trafficking.,Kim LaCapria,False
,,
"Liselotte Hubner remarked in 1929 that the rise of Hitler, a ""blusterous man,"" had dumbfounded educated people.",Dan Evon,unproven
President Obama signed an executive order to replace Supreme Court Justice Antonin Scalia with Rashad Hussain.,Dan Evon,FALSE
The Southern Poverty Law Center has officially labeled the Republican party a hate group.,Dan Evon,FALSE
A woman named Amanda spared her child from blatant human trafficking agents in a checkout line.,Kim LaCapria,Unproven
Donald Trump said that he would revoke U.S. citizenship from all Puerto Ricans if elected president.,Dan Evon,FALSE
"Ted Cruz said that there were no mass shootings when ""gays stayed hidden.""",Dan Evon,FALSE
"A photograph shows ""the world's cutest rodent,"" a Baluchistan pygmy jerboa.",Dan Evon,mixture
You can microwave an ear of corn to make popcorn.,Kim LaCapria,Mostly False
Donald Trump planned to rename New Mexico in his first act as President.,Kim LaCapria,False
A series of widely-shared photos show the effects that the Fukushima Nuclear DIsaster had on marine life.,Dan Evon,MOSTLY FALSE
,,
"The Obama Administration is ""fighting in court"" to allow non-citizens to vote in general elections.",Kim LaCapria,Mostly False
Rob Zombie was kicked out of the 88th Academy Awards.,Dan Evon,FALSE
"Donald Trump's Las Vegas property is not a casino because the Nevada Gaming Commission refused Trump a gaming license and deemed him insufficiently ""trustworthy.""",Kim LaCapria,False
"Hillary Clinton said children should be raised and trained by the state, and parents should have only a secondary role.",Dan Evon,FALSE
"The New Yorker published a surprisingly effusive item praising the political acumen of Donald Trump, penned by a Bloomberg reporter.",Kim LaCapria,Incorrectly Attributed
Nike didn't sign Steph Curry because the NBA star insisted on putting a Bible verse on his sneakers.,Dan Evon,unproven
"Sony Pictures has announced plans to remake the movie ""Mrs. Doubtfire"" with Jonah Hill.",Dan Evon,FALSE
"A video shows the first person to climb ""the Bean"" in Chicago.",Dan Evon,FALSE
Former first lady Nancy Reagan has endorsed Hillary Clinton.,Dan Evon,FALSE
"A meme's map depicts mass shootings since Sandy Hook, not acts of Islamic terrorism in the United States.",Kim LaCapria,Mostly True
A DNA test proved that a retired postman fathered more than 1300 illegitimate children.,Dan Evon,FALSE
A photograph shows two Ku Klux Klan members dressed in white robes showing support for Donald Trump at the Nevada caucus.,Dan Evon,MIXTURE
An image shows a real ad from The Brady Campaign urging citizens not to fight back against home intruders.,Dan Evon,FALSE
The transcript of Hillary Clinton's speech to finance giant Goldman Sachs was leaked and published online.,Dan Evon,FALSE
,,
,,
"Leonardo DiCaprio is moving to Woodstock, Illinois.",Dan Evon,FALSE
"Bristol Palin said all black actors look alike, making Oscar nominees difficult to diversify.",Kim LaCapria,False
"Coca-Cola's ""Share A Coke"" campaign includes a bottle for the KKK.",Dan Evon,FALSE
New York state has legalized heroin.,Dan Evon,FALSE
Donald Trump's Tower Air supplied flights home for Gulf War soldiers in 1991 when they faced otherwise long waits for military transportation.,Kim LaCapria,False
Temptations cat treats are causing renal failure in cats.,Kim LaCapria,Unproven
Cell phone companies began charging users for SMS emojis (emoticons) in February 2016.,Kim LaCapria,Mostly False
A Carbon Monoxide spike on the west coast indicates that a massive earthquake will soon hit.,Dan Evon,MOSTLY FALSE
Donald Trump told Phil Donahue that he was an atheist in 1989.,Dan Evon,FALSE
"Thieves can obtain your home address, banking details, e-mail address, phone number, and other personal details from discarded boarding passes.",Kim LaCapria,mixture
Billionaire Vijay Mallya found cheap parking in New York by using his expensive car as collateral for a loan.,Dan Evon,FALSE
A young Marine was discharged after footage of his involvement in a racially charged altercation at a Donald Trump rally surfaced.,Kim LaCapria,Mostly True
A photograph shows Hillary Clinton with former Ku Klux Klan member Robert Byrd.,Dan Evon,TRUE
"As the Nazi Party rose to power, Hitler used the slogan ""Make Germany Great Again.""",Dan Evon,MIXTURE
A photograph shows a newly hatched baby dragon.,Dan Evon,FALSE
A bloody knife was recently uncovered on the grounds of O.J. Simpson's former home.,Kim LaCapria,Mixture
You can tell the size of a man's penis by looking at his hands.,Brooke Binkowski,mixture
A photograph shows a waterslide in Dubai.,Dan Evon,FALSE
Photographs show a real trampoline bridge in Paris.,Dan Evon,FALSE
A number of media outlets incorrectly reported civil rights-era photos of Bernie Sanders were not legitimate.,Kim LaCapria,True
Cameron Diaz was cast to portray Maya Angelou in a new biographical film.,Kim LaCapria,false
Criminals have devised a new cell phone-like gun to fool police officers.,Kim LaCapria,Mostly False
Mark Cuban praised Donald Trump for giving honest (not prepared) answers.,Kim LaCapria,True
Germany has banned pork from school canteens because it offends Muslim 'migrants.',Kim LaCapria,Mostly False
An official statement warns anglers about copperhead snakes living inside of fish.,Dan Evon,FALSE
Bill Clinton potentially violated Massachusetts election laws by entering polling places on Super Tuesday.,Kim LaCapria,Mixture
Contoversial pharmaceuticals trader Martin Shkreli was shot and killed.,Kim LaCapria,False
A Fairfax County schoolteacher informed a student's mother that her black child was singled out by other students as likely to be deported if Donald Trump were elected.,Kim LaCapria,True
A photograph shows Republican presidential candidate Ted Cruz hugging Fidel Castro.,Dan Evon,FALSE
A photograph shows a crowd with their hands raised pledging allegiance to President Obama.,Dan Evon,FALSE
Eleven states are implementing motorcycle curfews with stiff penalties for violators.,Kim LaCapria,False
"Bernie Sanders called for ""chemtrail reform"" during a campaign stop in Nevada.",Kim LaCapria,False
Donald Trump encouraged supporters to engage in a Nazi-style salute at a campaign rally.,Kim LaCapria,Mostly False
Bernie Sanders said that white people don't know what it is like to be poor.,Dan Evon,MIXTURE
Keanu Reeves lamented the objectification of women in an uncharacteristic way.,Kim LaCapria,False
"Netflix released a promotional image for its upcoming series ""Home Improvementer"".",Dan Evon,FALSE
Students at Bowdoin College in Maine were offered counseling because a party involved mini sombreros.,Kim LaCapria,Mostly False
"A casting call for a Latina actress to play a ""Donald Trump Executive Assistant Supporter"" was posted by the republican presidential candidate.",Dan Evon,MIXTURE
"Police in Collin County, Texas have quietly warned of serial kidnappings at local Target and Walmart locations.",Kim LaCapria,False
Kentucky has passed a bill banning interracial marriages.,Kim LaCapria,MIXTURE
Photograph depicts fetuses found in a Chinese food restaurant's freezer.,Kim LaCapria,False
"Donald Trump said in the good old days, protesters were harshly dealt with and carried away on stretchers.",Kim LaCapria,Mostly True
Bernie Sanders tweeted a scathing retort to Donald Trump after the latter accused the former's supporters of inciting violence at Trump rallies.,Kim LaCapria,False
Nylabone brand pet products are toxic and cause dogs to have seizures.,Dan Evon,unproven
Taco Cabana Restaurants have banned Donald Trump supporters,Dan Evon,FALSE
"UNESCO declared India's national anthem, 'Jana Gana Mana,' to be the world's best.",Dan Evon,FALSE
Ronald Reagan met with the Taliban in 1985 and compared them to the founding fathers of the United States.,Dan Evon,FALSE
A woman murdered her college roommate over too many Candy Crush requests.,Dan Evon,FALSE
Donald Trump tweeted an image of his genitals following penis-related banter at a Republican debate.,Kim LaCapria,False
A woman encountered kidnapping scouts at a Houston Target.,Kim LaCapria,Unproven
,,
Bernie Sanders was omitted from the Chicago primary ballot.,Kim LaCapria,False
Harrison Ford endorsed Donald Trump via a photograph in which he held up a campaign sign.,Kim LaCapria,False
"Taxpayers paid more than $40,000 for Sasha and Malia Obama's state dinner dresses.",Dan Evon,MIXTURE
"Facebook users should not accept a video entitled ""Sonia Disowns Rahul"" because it contains a malicious virus.",Dan Evon,FALSE
The volume of Americans researching the details of immigrating to Canada was so high on Super Tuesday that it temporarily crashed the country's immigration site.,Kim LaCapria,Mixture
Singer James Hetfield left the band Metallica and has announced a new country music album.,Dan Evon,FALSE
"Photograph shows Donald Trump supporters wearing ""Make America White Again"" shirts at a rally.",Kim LaCapria,False
A resolution passed in March 2016 forces residents of a Texas county to pay reparations to black citizens.,Kim LaCapria,False
The movie 'The Notebook 2' has started filming in various US cities.,Dan Evon,FALSE
,,
"USPS  ""Forever Stamps"" are considered ""second-class mail,"" and items sent with those stamps are processed more slowly.",Kim LaCapria,False
"Photographs show an attempted robbery in El Paso, Texas, that ended with all of the assailants shot by their would-be victim.",Brooke Binkowski,miscaptioned
A video shows a surfer being towed by a great white shark.,Dan Evon,FALSE
"President Obama ordered flags be flown at half-staff to mark the death of singer Whitney Houston, but he did not extend that honor to former first lady Nancy Reagan.",Kim LaCapria,False
A massive recall of chicken nuggets is underway after authorities in Iowa found human remains in a meat processing facility.,Kim LaCapria,False
The Supreme Court revoked the Church of Scientology's tax-exempt status in March 2016.,snopes.com staff,FALSE
Meg White is replacing Rush's drummer Neil Peart.,Kim LaCapria,False
"Muslims comprise 1% of the population, 0.5% of mass shooters, and 10% of doctors in the U.S.",Kim LaCapria,mostly false
A 1964 campaign ad for President Lyndon B. Johnson featured a purported Republican voter expressing concerns which eerily echoed threads of debate in the GOP in 2016.,Kim LaCapria,True
"President Obama opted to skip Nancy Reagan's funeral in order to ""party"" at an ""entertainment festival.""",Kim LaCapria,Mixture
"Bernie Sanders has not released the transcripts for speeches he gave to major financial institutions, despite calling on Hillary Clinton to do so.",Kim LaCapria,False
Russian President Vladimir Putin endorsed Sen. Bernie Sanders for President.,Kim LaCapria,False
A video shows Secret Service agents practicing for advanced reverse escapes at a racetrack.,Dan Evon,FALSE
A Wendy's employee admitted that was putting feces in the restaurant's chili.,Dan Evon,FALSE
Parents should be aware that a code for pedophiles inexplicably showed up on a children's toy at motorsport event Monster Jam.,Kim LaCapria,Mostly False
A video provides evidence that a protester who was arrested at a Donald Trump rally was a member of ISIS.,Dan Evon,FALSE
"Nancy Reagan once said ""It is appalling to see parades in San Francisco and elsewhere proclaiming 'gay pride' and all that.""",David Mikkelson,UNPROVEN
A black supporter of Donald Trump was shot and killed by protesters in Chicago.,David Mikkelson,FALSE
Actor Andrew Lincoln's father was in a 1972 plane crash in the Andes mountain and survived by eating the other passengers.,Dan Evon,FALSE
Singer Adele died in a car crash in March 2016.,Dan Evon,FALSE
Floyd Mayweather wore a Muslim headscarf to a Donald Trump rally.,Dan Evon,FALSE
The government buried news of weather modification in the classifieds section of a small newspaper.,Kim LaCapria,Mostly False
"Jason Brian Dalton, who as accused of killing six people during a shooting spree in February 2016, is suing Uber for $10 million in damages.",Brooke Binkowski,false
Gardeners can create a hybrid kiwi banana fruit by planting a piece of a banana and a piece of a kiwi in the same pot.,Dan Evon,FALSE
Zantac (ranitidine) or similar acid reflux medications cause users to falsely test positive for meth use.,Kim LaCapria,Mixture
,,
"The FDA has banned all e-juice for electronic cigarettes, effective July 2016.",Kim LaCapria,False
Bernie Sanders plans on banning trucks in the United States.,Dan Evon,MIXTURE
Ted Cruz wants to ban the tritone interval in music due to its association with the devil.,Dan Evon,FALSE
Hillary Clinton admitted her Iraq War vote was elicited in exchange for money provided by the Bush administration to help rebuild New York City after the 9/11 attacks.,Kim LaCapria,False
A viral video showing molten copper being poured over a Big Mac definitively proves that McDonald's food is indestructible and indigestible.,Dan Evon,mostly false
A recall was issued for Bumble Bee Tuna after human remains were found in the product.,Dan Evon,FALSE
Ads on Craigslist sought to recruit paid protesters to swarm Donald Trump rallies.,Kim LaCapria,Unproven
A photograph shows a pilot taking a selfie out of a plane window.,Dan Evon,FALSE
Doors singer Jim Morrison has been found alive in a Paris retirement home.,David Mikkelson,false
Ted Cruz and Marco Rubio urged people to vote for a Democrat if Donald Trump wins the 2016 Republican presidential nomination.,Dan Evon,FALSE
,,
Notorious criminal Charles Manson has endorsed Donald Trump for president.,Kim LaCapria,False
Donald Trump supporters were photographed wearing Nazi-style armbands.,Kim LaCapria,Mostly False
,,
"Hillary Clinton overlooked Benghazi victims when she said that ""we didn't lose a single person in Libya"" during a campaign event on MSNBC.",Kim LaCapria,Mostly False
Statistician Nate Silver predicted Bernie Sanders would sweep eight states and win the Democratic nomination.,Kim LaCapria,Unproven
Plans to make a sequel to the movie 'Step Brothers' were announced in March 2016.,Dan Evon,FALSE
Keith Richards once pulled a knife on Donald Trump.,Dan Evon,MIXTURE
,,
"Autism has now been included among the known side effects of the  DTaP (Diphtheria, Tetanus, and acellular Pertussis) vaccine.",Kim LaCapria,false
,,
"A video shows the ""moment the explosion"" of a terrorist attack occurred in the Brussels airport on 22 March 2016. .",Dan Evon,FALSE
The U.S. Department of Interior sent out an official news release stating that President Obama was reducing the size of the Navajo Reservation.,Dan Evon,FALSE
Republicans in Alabama filed a bill which (if passed) would prohibit people who owned cars from receiving food stamps.,Kim LaCapria,False
A photograph captures President Obama pointing at a nude painting of Donald Trump.,Dan Evon,FALSE
A young Mormon missionary has survived three terrorist attacks in three countries.,Brooke Binkowski,mixture
The Colorado Rockies will sell pot brownies at Coors Field concession stands .,Kim LaCapria,False
Police are asking meth users to bring in their drugs because they might be contaminated with Ebola.,Dan Evon,MIXTURE
"Pantene shampoo and conditioner leave a build-up on hair that causes it to heat up and ""smoke"" when combined with highlight foils.",Kim LaCapria,false
"Ed Trice successfully lobbied to have all standardized math tests in the country changed after his daughter's ""correct"" answer to the question ""What's the largest number you can represent with 3 digits?"" was marked wrong.",Dan Evon,unproven
The Food and Drug Administration (FDA) banned the sale of cannabidiol (CBD) oils because a drug company is interested in marketing them.,Kim LaCapria,False
A video shows Walmart-brand water turning to a dangerous gelatin substance.,Dan Evon,FALSE
A photograph shows President Obama holding a Che Guevara t-shirt.,Dan Evon,FALSE
"Opossums kill thousands of ticks each week, inhibiting the spread of Lyme Disease to humans.",Kim LaCapria,mostly true
Bernie Sanders isn't on the New Jersey primary ballot.,Kim LaCapria,Mostly False
Hillary Clinton was disbarred and stripped of her license to practice law.,Kim LaCapria,False
,,
,,
A photograph shows two children holding a 'F*CK Donald Trump' sign at a Chicago rally.,Dan Evon,UNDETERMINED
An image depicts rare purple ladybugs found only in Hawaii.,Kim LaCapria,False
"The name of the Christian holy day known as ""Good Friday"" derives from the term ""God's Friday.""",David Mikkelson,false
"An ""alien mummy"" was recently unearthed in a pyramid, and scientists cannot explain its origins.",Kim LaCapria,False
Milk-Bone dog treats cause cancer in one of every two dogs that eat them.,Kim LaCapria,False
,,
"Getting your hair washed at a beauty salon can, in rare cases, increase the chances of a stroke.",Brooke Binkowski,true
Images reproduce contradictory statements from U.S. senators Mitch McConnell and Harry Reid about the President's prerogative in appointing Supreme Court justices.,Kim LaCapria,true
"Maricopa County Recorder Helen Purcell was married to Joe Purcell, a former Lieutenant Governor of Arkansas who served under Bill Clinton.",Dan Evon,FALSE
Ronald Reagan went golfing after the 1983 terrorist bombing of a U.S. Marines barrack in Beirut.,Dan Evon,FALSE
A driver drove into a wall painted to look like a tunnel in a manner similar to Looney Tunes' Road Runner cartoons.,Kim LaCapria,False
The FDA classified walnuts as drugs.,Kim LaCapria,False
"Nutella is ""toxic"" and contains the ""harmful"" ingredients vanillin and MSG.",Kim LaCapria,False
"Cadbury has entirely eliminated use of the word ""Easter"" on the packaging of their chocolate candy products.",Dan Evon,FALSE
"Congressman Ryan Zinke is offering an ""ISIS Hunting Tag"" to people who donate to his campaign.",Dan Evon,UNPROVEN
"Students at Emory University were offered ""emergency counseling"" after pro-Trump graffiti appeared overnight in campus ""safe spaces.""",Kim LaCapria,Mostly False
A family of three drowned when they neglected to close their car's sunroof before going through a carwash.,Brooke Binkowski,false
,,
A white strawberry that tastes like pineapple is available in certain markets.,Brooke Binkowski,true
"As President Obama departed Cuba, dozens of prospective refugees clung to the wings of Air Force One.",Kim LaCapria,False
"Donald Trump ""spilled the beans"" on Heidi Cruz, saying that she used to work as a call girl.",Dan Evon,FALSE
Donald Trump said that as president he would build a wall along the U.S.-Canadian border.,Dan Evon,FALSE
"Bernie Sanders purchased a $172,000 luxury car with campaign donations.",Dan Evon,FALSE
A woman is suing a tampon manufacturer for 'stealing' her daughter's virginity.,David Mikkelson,false
Tattoos are banned at all Disney theme parks.,Dan Evon,FALSE
A photograph shows the preserved claw of a dinosaur called troodon.,Dan Evon,FALSE
Account describes a cab driver taking an elderly woman to a hospice on the last ride of her life.,David Mikkelson,legend
Donald Trump said that he doesn't like Muslims because they killed Jesus.,Dan Evon,FALSE
Bernie Sanders wants to tax churches at a rate of 90 percent.,Kim LaCapria,False
Hillary Clinton was arrested by the FBI on 1 April 2016.,Dan Evon,FALSE
Photograph shows crates in which calves are kept immobilized for six weeks before they are slaughtered for veal.,David Mikkelson,FALSE
,,
"Bernie Sanders said that ""the heritage of Castro will be felt for generations to come"" during a 1985 radio interview.",Dan Evon,FALSE
"Redbox is hiring ""kiosk ambassadors"" to man their red booths.",Kim LaCapria,False
"Donald Trump said there should be ""some form of punishment"" for women who have abortions.",Kim LaCapria,Mixture
"A video shows a 10-year-old Amy Winehouse singing ""What A Difference A Day Makes.""",Dan Evon,FALSE
A 101-year-old Italian woman gave birth after an ovarian transplant.,Kim LaCapria,False
The Weather Channel announced that it will only use the Celsius temperature scale.,Dan Evon,FALSE
Pimm's signed a sponsorship deal to display its logo on Big Ben.,Dan Evon,FALSE
"After unlocking an iPhone belonging to one of the people involved in the San Bernardino shooting, the FBI ruined the device by spilling water on it.",Dan Evon,FALSE
Facebook is censoring posts about Bernie Sanders and the hashtag #FeelTheBern.,Kim LaCapria,False
"Stanford University rejected all applicants for the Class of 2020, cementing their status as an upper-crust institution.",Kim LaCapria,False
,,
Donald Trump announced that his 2016 Presidential campaign was an April Fool's Day joke.,Dan Evon,FALSE
"On either 20 April or 29 May 2016, a very rare ""green moon"" will be visible in the night sky.",Kim LaCapria,False
A photograph shows two women holding anti-Father's Day signs.,Dan Evon,FALSE
"Alaska, Hawaii, Washington states are overwhelmingly ""white"" and ""rural.""",Brooke Binkowski,false
"Actor Gabourey Sidibe has died of an ""apparent asthma attack.""",Kim LaCapria,false
The media covered up an incident in San Bernardino during which several Muslim men fired upon a number of Californian hikers.,Kim LaCapria,False
Bernie Sanders flies coach while traveling for his presidential campaign.,Kim LaCapria,mixture
"Chobani CEO Hamdi Ulukaya vowed to ""drown the United States in Muslims"" and is ""importing them to Idaho 300 at a time to work in his factory.""",Kim LaCapria,Mostly False
"A video featuring the ""Best Volleyball Blocks Ever"" uses footage of a real volleyball game.",Dan Evon,FALSE
A photograph depicts a sign on a unisex Kroger bathroom addressing recent controversies about gender and restroom use.,Kim LaCapria,True
Aaron Rodgers and Olivia Munn endorsed Bernie Sanders at a rally in Wisconsin.,Dan Evon,FALSE
,,
A clip from the show 'Arrested Development' featuring Ron Howard is proof that the 1969 moon landing was fake.,Dan Evon,FALSE
All Trader Joe's grocery stores will be closed by 2017.,Dan Evon,FALSE
"Bernie Sanders's campaign bused fake supporters to rallies, caucuses, and events in order to prevent legitimate attendees from being able to participate.",Kim LaCapria,Mostly False
"The Temple of Baal is being rebuilt in New York and London as an operable house of worship, with more such temples to follow.",Kim LaCapria,Mostly False
A photograph shows musician Snoop Dogg in an Easter Bunny costume.,Dan Evon,FALSE
A photograph show a solar eclipse over the ocean.,Dan Evon,FALSE
,,
Most refugees are young adult males.,Brooke Binkowski,Mostly False
Singer Kehlani was found dead in her home of an apparent suicide on 28 March 2016.,Dan Evon,FALSE
"Whataburger is holding a ""Dollar Burger Day"" promotion on 29 March 2016.",Dan Evon,FALSE
"'Beetlejuice 2,' a sequel to the 1988 comedy horror film, is coming to theaters soon.",Kim LaCapria,False
Rep. Debbie Riddle proposed a breastfeeding ban on women with large breasts.,Dan Evon,FALSE
"Photograph shows Titus, an Albanian pitbull with cheetah-like spots.",David Mikkelson,false
Kohl's declared bankruptcy and is closing all its stores.,Kim LaCapria,False
Donald Trump ex-wives admitted that the Republican Presidential candidate forced them to have abortions.,Dan Evon,FALSE
HUD is attempting to pass a law banning tiny houses and RV living.,Kim LaCapria,False
"The Corrections Corporation of America (CCA) said that cannabis legalization would harm their profits, and they spend $1 million per year fighting changes to marijuana laws.",Kim LaCapria,Mixture
,,
A touching transcript reproduces a Russian soldier's last words before he ordered an airstrike on himself to kill ISIS members in Syria.,Brooke Binkowski,undetermined
A woman shot and killed her boyfriend after an April Fool's Day marriage proposal prank.,Kim LaCapria,False
Republican presidential candidate John Kasich said that he would abolish teachers' lounges.,Dan Evon,mixture
An A-list celebrity had car trouble in your town and afterwards praised the locals for being awesomely helpful.,Kim LaCapria,False
A photograph shows a 736-pound catfish caught in the Mississippi River.,Dan Evon,FALSE
"Stephanie Cegielski, Donald Trump's top strategist, wrote an open letter to the Republican candidate's supporters.",Dan Evon,MIXTURE
Visitors to Hollywood's Walk of Fame regularly defecate on Donald Trump's star.,Kim LaCapria,False
Taxpayers footed the bill for prayer rugs at a St. Cloud school district after a lawsuit was brought by CAIR.,Kim LaCapria,False
A photograph shows a horse with markings on its coat depicting an image of a wolf.,Dan Evon,FALSE
A photograph shows a group of Texas college students protesting the rising cost of education by writing their debts on their graduation caps.,Dan Evon,FALSE
A photograph shows William Harley and Arthur Davidson unveiling their first motorcycle in 1914.,Dan Evon,FALSE
,,
"A patron paid the restaurant tab for seven different families and left his server a $1,500 tip at a Denny's.",David Mikkelson,unproven
"As Secretary of State, Hillary Clinton artificially depressed Haiti's minimum wage; that action was part of a larger plan by the Clinton Foundation to profit from the country.",Brooke Binkowski,mixture
,,
,,
"A month after Hillary Clinton was declared the winner of Nevada's caucuses, Bernie Sanders retroactively collected more delegates to win the state.",Kim LaCapria,mixture
"After losing the Wisconsin Republican primary, Donald Trump threatened to sue everyone in that state.",David Mikkelson,false
The horse's head that appeared in an iconic scene in the film,Kim LaCapria,True
"Bruce Springsteen cancelled a show in Greensboro, North Carolina, over the state's so-called 'bathroom law.'",Brooke Binkowski,true
Arizona's Prescott College is forcing students to pay a $30 fee for an undocumented immigrant scholarship fund.,Kim LaCapria,mixture
New or expectant moms can receive a generous free meal from their local Chick-fil-A.,Kim LaCapria,Mostly false
A Naples Zoo keeper was killed while attempting to sexually assault a 12-foot long reptile.,David Mikkelson,false
,,
"An ""abortionist"" strangled an infant following a failed saline abortion, while other clinicians failed to intervene.",Kim LaCapria,mixture
A woman sliced a rapist's genitals off and forced him to eat them.,Kim LaCapria,False
An ISIS attack claimed seven lives in a U.S. town.,Kim LaCapria,False
,,
,,
,,
"Facebook has not one, but two filtered message inboxes where Messenger messages may not be easily seen.",Kim LaCapria,True
"An astrophysicist warned that a ""newly discovered Planet X"" could wipe out all life on Earth as early as April 2016.",Kim LaCapria,False
A video shows a snowboarder being chased by a bear.,Dan Evon,unproven
Ted Cruz and his wife are cousins.,Dan Evon,FALSE
Mississippi has passed a bill granting churchgoers the right to shoot and kill citizens at will.,Kim LaCapria,Mostly False
,,
"John F. Kennedy warned of what would happen ""one day"" after he was ""long gone"" in an eerily predictive manner.",Kim LaCapria,False
Country music singer Merle Haggard left his entire estate to an LGBT group.,Dan Evon,FALSE
"New York State Gov. Andrew Cuomo issued a multi-state ""travel ban"" involving states with ""lax gun laws.""",Kim LaCapria,False
A law in Iowa forbids people from kissing for more than five minutes.,Dan Evon,UNPROVEN
